"","sp","lon","lat"
"35","Adelphobates_galactonotus",-48.883429,-1.730352
"36","Adelphobates_galactonotus",-47.503596,-4.948496
"37","Adelphobates_galactonotus",-48.41226,-2.036413
"38","Adelphobates_galactonotus",-51.300757,-3.998877
"39","Adelphobates_galactonotus",-48.588567,-7.331277
"40","Adelphobates_galactonotus",-48.634358,-1.49903
"41","Adelphobates_galactonotus",-48.476492,-1.4520868
"42","Adelphobates_galactonotus",-48.459694,-1.24057
"43","Adelphobates_galactonotus",-55.092994,-2.765212
"44","Adelphobates_galactonotus",-49.371228,-3.732198
"45","Adelphobates_galactonotus",-50.0863,-6.425071
"46","Adelphobates_galactonotus",-47.201854,-7.371662
"47","Adelphobates_galactonotus",-49.627165,-6.227225
"48","Adelphobates_galactonotus",-47.563597,-1.146252
"49","Adelphobates_galactonotus",-56.498003,-5.869409
"50","Adelphobates_galactonotus",-50.020878,-5.630853
"51","Adelphobates_galactonotus",-49.117778,-5.368611
"52","Adelphobates_galactonotus",-51.104165,-1.607149
"53","Adelphobates_galactonotus",-49.466716,-2.578413
"54","Adelphobates_galactonotus",-47.601609,-3.204424
"55","Adelphobates_galactonotus",-50.497529,-6.154597
"56","Adelphobates_galactonotus",-50.955431,-2.56467
"57","Adelphobates_galactonotus",-48.461703,-4.51609
"58","Adelphobates_galactonotus",-52.253084,-7.229441
"59","Adelphobates_galactonotus",-48.5526,-6.1516
"60","Adelphobates_galactonotus",-44.3219585,-2.698232
"61","Adelphobates_galactonotus",-49.821183,-3.854633
"62","Adelphobates_galactonotus",-48.138539,-0.88946
"75","Adenomera_saci",-47.20839242,-11.42595057
"76","Adenomera_saci",-53.21666667,-17.36666667
"77","Adenomera_saci",-47.78333333,-14.16666667
"78","Adenomera_saci",-52.28333333,-15.96666667
"79","Adenomera_saci",-47.79555168,-15.77962722
"80","Adenomera_saci",-46.29628281,-14.40130689
"81","Adenomera_saci",-52.63342688,-18.46352881
"82","Adenomera_saci",-50.0962,-11.95754918
"83","Adenomera_saci",-48.34958376,-13.49722705
"84","Adenomera_saci",-47.55,-16.71666667
"85","Adenomera_saci",-47.51623592,-16.69827493
"86","Adenomera_saci",-48.40069208,-14.49790141
"87","Adenomera_saci",-51.56695065,-12.86897231
"88","Adenomera_saci",-50.79403335,-10.33278194
"89","Adenomera_saci",-46.75098164,-11.34048627
"90","Adenomera_saci",-54.43874624,-17.64693718
"91","Agalychnis_granulosa",-36.4,-8.2
"92","Agalychnis_granulosa",-35,-7.833333
"93","Agalychnis_granulosa",-34.983333,-8.116667
"94","Agalychnis_granulosa",-35.833333,-8.716667
"96","Agalychnis_granulosa",-35.73016667,-9.39175
"97","Agalychnis_granulosa",-35.844306,-9.247247
"98","Agalychnis_granulosa",-35.616667,-8.566667
"99","Agalychnis_granulosa",-34.93303,-8.040889
"100","Agalychnis_granulosa",-34.95,-8
"101","Agalychnis_granulosa",-34.982644,-7.960886
"102","Agalychnis_granulosa",-35.366667,-7.583333
"103","Agalychnis_granulosa",-35.366667,-7.6
"120","Allobates_femoralis",-52.206389,-3.203333
"121","Allobates_femoralis",-54.8403,-3.1491
"122","Allobates_femoralis",-67.236667,-9.026111
"123","Allobates_femoralis",-68.748056,-11.016111
"124","Allobates_femoralis",-72.669722,-7.631111
"126","Allobates_femoralis",-53.302214,1.090927
"127","Allobates_femoralis",-60.025,-3.101944
"128","Allobates_femoralis",-65.356036,-9.520401
"129","Allobates_femoralis",-64.886911,-9.641771
"130","Allobates_femoralis",-65.361092,-9.588139
"131","Allobates_femoralis",-63.9039,-8.76194
"133","Allobates_femoralis",-67.809722,-9.974722
"185","Allophryne_ruthveni",-56.370243,-10.054655
"186","Allophryne_ruthveni",-55.47779,-4.61834
"187","Allophryne_ruthveni",-61.768888,3.678304
"188","Allophryne_ruthveni",-51.7,-3.1167
"189","Allophryne_ruthveni",-50.085856,-6.424682
"190","Allophryne_ruthveni",-57.7528,-6.22222
"191","Allophryne_ruthveni",-61.9075,-10.144722
"192","Allophryne_ruthveni",-51.35,-7.65
"193","Allophryne_ruthveni",-56.686101,-9.592498
"194","Allophryne_ruthveni",-63.466667,-8.75
"195","Allophryne_ruthveni",-61.176944,-11.694722
"196","Allophryne_ruthveni",-52.270813,1.650985
"216","Ameerega_braccata",-55.786944,-20.471111
"217","Ameerega_braccata",-55.863286,-19.75323
"218","Ameerega_braccata",-57.180833,-15.072778
