"","x"
"1","Aburria jacutinga"
"2","Accipiter poliogaster"
"3","Amaurospiza moesta"
"4","Amazilia lactea"
"5","Amazilia versicolor"
"6","Amazona vinacea"
"7","Anabacerthia amaurotis"
"8","Anabazenops fuscus"
"9","Anas bahamensis"
"10","Anumbius annumbi"
"11","Aphantochroa cirrochloris"
"12","Aramides saracura"
"13","Aratinga auricapillus"
"14","Arremon semitorquatus"
"15","Automolus leucophthalmus"
"16","Basileuterus culicivorus"
"17","Basileuterus leucoblepharus"
"18","Batara cinerea"
"19","Biatas nigropectus"
"20","Brotogeris tirica"
"21","Buteo brachyurus"
"22","Cacicus chrysopterus"
"23","Cacicus haemorrhous"
"24","Calliphlox amethystina"
"25","Carduelis magellanica"
"26","Carduelis yarrellii"
"27","Carpornis cucullata"
"28","Caryothraustes canadensis"
"29","Celeus flavescens"
"30","Cercomacra brasiliana"
"31","Chamaeza campanisona"
"32","Chamaeza meruloides"
"33","Chamaeza ruficauda"
"34","Chiroxiphia caudata"
"35","Chlorophonia cyanea"
"36","Chlorostilbon aureoventris"
"37","Chrysomus ruficapillus"
"38","Cichlocolaptes leucophrus"
"39","Cinclodes pabsti"
"40","Cissopis leverianus"
"41","Clytolaema rubricauda"
"42","Colaptes campestris"
"43","Colibri serrirostris"
"44","Colonia colonus"
"45","Columbina talpacoti"
"46","Conopophaga lineata"
"47","Conopophaga melanops"
"48","Contopus cinereus"
"49","Cranioleuca obsoleta"
"50","Cranioleuca pallida"
"51","Crax blumenbachii"
"52","Crypturellus noctivagus"
"53","Crypturellus obsoletus"
"54","Curaeus forbesi"
"55","Cyanocompsa brissonii"
"56","Cyanocorax caeruleus"
"57","Cyanoloxia glaucocaerulea"
"58","Dacnis cayana"
"59","Dacnis nigripes"
"60","Dendrocolaptes platyrostris"
"61","Discosura longicaudus"
"62","Donacospiza albifrons"
"63","Drymophila ferruginea"
"64","Drymophila ochropyga"
"65","Drymophila rubricollis"
"66","Drymophila squamata"
"67","Dryocopus galeatus"
"68","Dryocopus lineatus"
"69","Dysithamnus mentalis"
"70","Dysithamnus plumbeus"
"71","Dysithamnus stictothorax"
"72","Dysithamnus xanthopterus"
"73","Elaenia mesoleuca"
"74","Elaenia obscura"
"75","Euphonia cyanocephala"
"76","Euphonia xanthogaster"
"77","Florisuga fusca"
"78","Fluvicola nengeta"
"79","Formicivora erythronotos"
"80","Furnarius figulus"
"81","Gallinago paraguaiae"
"82","Gallinago undulata"
"83","Gallinula melanops"
"84","Geotrygon violacea"
"85","Glaucidium brasilianum"
"86","Glaucidium minutissimum"
"87","Glaucis dohrnii"
"88","Grallaria varia"
"89","Haplospiza unicolor"
"90","Harpagus diodon"
"91","Hemithraupis flavicollis"
"92","Hemithraupis ruficapilla"
"93","Hemitriccus diops"
"94","Hemitriccus furcatus"
"95","Hemitriccus kaempferi"
"96","Hemitriccus mirandae"
"97","Hemitriccus nidipendulus"
"98","Hemitriccus obsoletus"
"99","Hemitriccus orbitatus"
"100","Hirundinea ferruginea"
"101","Hylocharis cyanus"
"102","Hylopezus nattereri"
"103","Hylophilus amaurocephalus"
"104","Hylophilus poicilotis"
"105","Hylophilus thoracicus"
"106","Hypoedaleus guttatus"
"107","Ilicura militaris"
"108","Iodopleura pipra"
"109","Ixobrychus involucris"
"110","Jacamaralcyon tridactyla"
"111","Knipolegus cyanirostris"
"112","Knipolegus lophotes"
"113","Knipolegus nigerrimus"
"114","Laniisoma elegans"
"115","Laterallus melanophaius"
"116","Lathrotriccus euleri"
"117","Leptasthenura setaria"
"118","Leptasthenura striolata"
"119","Leptodon forbesi"
"120","Leptopogon amaurocephalus"
"121","Leucochloris albicollis"
"122","Leucopternis polionotus"
"123","Limnoctites rectirostris"
