"","sp","lon","lat"
"2","Aburria jacutinga",-45.4167,-23.8
"3","Aburria jacutinga",-47.98,-24.1756
"18","Aburria jacutinga",-54.44626,-25.68337
"39","Aburria jacutinga",-48.3615,-24.0793
"44","Aburria jacutinga",-43.3246,-22.484
"45","Aburria jacutinga",-47.9773,-24.1367
"46","Aburria jacutinga",-48.4128,-24.2682
"63","Aburria jacutinga",-40.1997,-4.49702
"68","Aburria jacutinga",-57.2058,-18.6254
"106","Aburria jacutinga",-45.5717,-22.7175
"109","Aburria jacutinga",-48.4059,-24.1647
"116","Aburria jacutinga",-43.76953,-20.7972
"117","Aburria jacutinga",-51.64228,-14.24081
"118","Aburria jacutinga",-48.4181,-24.3013
"121","Aburria jacutinga",-45.173,-23.4736
"123","Aburria jacutinga",-54.4384,-25.6808
"125","Aburria jacutinga",-42.7119,-22.4878
"132","Aburria jacutinga",-45.1442,-23.3548
"134","Aburria jacutinga",-47.9226,-25.0762
"179","Aburria jacutinga",-56.286,-19.5682
"220","Accipiter bicolor",-45.5898,-22.7372
"222","Accipiter bicolor",-42.7706,-22.453
"229","Accipiter bicolor",-41.3965,-12.5714
"330","Accipiter bicolor",-45.5717,-22.7175
"344","Accipiter bicolor",-55.9143,-9.56726
"450","Accipiter bicolor",-48.4181,-24.3013
"461","Accipiter bicolor",-57.0611,-19.4321
"479","Accipiter bicolor",-45.0588,-23.3994
"555","Accipiter bicolor",-60.4248,-9.38945
"561","Accipiter bicolor",-55.724,-15.359
"578","Accipiter bicolor",-46.3558,-23.1988
"586","Accipiter bicolor",-56.1509,-19.5772
"601","Accipiter bicolor",-55.9311,-9.59726
"610","Accipiter bicolor",-48.4128,-24.2682
"616","Accipiter bicolor",-56.8772,-16.7581
"653","Accipiter bicolor",-56.6208,-16.3786
"672","Accipiter bicolor",-49.308,-25.4263
"687","Accipiter poliogaster",-55.9311,-9.59726
"691","Accipiter poliogaster",-60.1416,-2.60904
"693","Accipiter poliogaster",-48.4128,-24.2634
