"","x"
"1","Abarema brachystachya (DC.) Barneby & J.W.Grimes"
"2","Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes"
"3","Abarema filamentosa (Benth.) Pittier"
"4","Abarema jupunba (Willd.) Britton & Killip"
"5","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes"
"6","Abarema villosa Iganci & M.P.Morim"
"7","Acanthocladus albicans A.W.Benn."
"8","Acanthocladus brasiliensis (Klotzsch ex A.St.-Hil. & Moq.) Hassk."
"9","Acca sellowiana (O.Berg) Burret"
"10","Achatocarpus praecox Griseb."
"11","Acnistus arborescens (L.) Schltdl."
"12","Acosmium lentiscifolium Schott"
"13","Acrocomia aculeata (Jacq.) Lodd. ex Mart."
"14","Acrocomia intumescens Drude"
"15","Actinostemon concolor (Spreng.) Müll.Arg."
"16","Actinostemon klotzschii (Didr.) Pax"
"17","Actinostemon lasiocarpus (Müll.Arg.) Baill."
"18","Actinostemon verticillatus (Klotzsch) Baill."
"19","Aegiphila brachiata Vell."
"20","Aegiphila graveolens Mart. & Schauer"
"21","Aegiphila integrifolia (Jacq.) Moldenke"
"22","Aegiphila luschnathii Schauer"
"23","Aegiphila mediterranea Vell."
"24","Aegiphila obducta Vell."
"25","Aegiphila pernambucensis Moldenke"
"26","Aegiphila riedeliana Schauer"
"27","Aegiphila verticillata Vell."
"28","Aegiphila vitelliniflora Walp."
"29","Agarista coriifolia (Thunb.) Hook. ex Nied."
"30","Agarista eucalyptoides (Cham. & Schltdl.) G.Don"
"31","Agarista niederleinii (Sleumer) Judd"
"32","Agarista oleifolia (Cham.) G.Don"
"33","Agarista revoluta (Spreng.) J.D. Hook. ex Nied."
"34","Agonandra brasiliensis Miers ex Benth. & Hook.f."
"35","Agonandra excelsa Griseb."
"36","Aiouea acarodomatifera Kosterm."
"37","Aiouea saligna Meisn."
"38","Albizia edwallii (Hoehne) Barneby & J.W.Grimes"
"39","Albizia niopoides (Spruce ex Benth.) Burkart"
"40","Albizia pedicellaris (DC.) L.Rico"
"41","Albizia polycephala (Benth.) Killip ex Record"
"42","Alchornea glandulosa Poepp. & Endl."
"43","Alchornea sidifolia Müll.Arg."
"44","Alchornea triplinervia (Spreng.) Müll.Arg."
"45","Algernonia leandrii (Baill.) G.L.Webster"
"46","Alibertia baiana Delprete & C.H.Perss."
"47","Allagoptera caudescens (Mart.) Kuntze"
"48","Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl."
"49","Allophylus guaraniticus (A. St.-Hil.) Radlk."
"50","Allophylus petiolulatus Radlk."
"51","Allophylus puberulus (Cambess.) Radlk."
"52","Allophylus racemosus Sw."
"53","Allophylus semidentatus (Miq.) Radlk."
"54","Almeidea lilacina A.St.-Hil."
"55","Almeidea rubra A.St.-Hil."
"56","Aloysia virgata (Ruiz & Pav.) Juss."
"57","Alseis floribunda Schott"
"58","Alseis pickelii Pilg. & Schmale"
"59","Alsophila setosa Kaulf."
"60","Alsophila sternbergii (Sternb.) D.S.Conant"
"61","Amaioua guianensis Aubl."
"62","Amaioua intermedia Mart. ex Schult. & Schult.f."
"63","Amaioua pilosa K.Schum."
"64","Amanoa guianensis Aubl."
"65","Amburana cearensis (Allemão) A.C.Sm."
"66","Ampelocera glabra Kuhlm."
"67","Amphirrhox longifolia (A.St.-Hil.) Spreng."
"68","Anadenanthera colubrina (Vell.) Brenan"
"69","Anadenanthera peregrina (L.) Speg."
"70","Anaxagorea dolichocarpa Sprague & Sandwith"
"71","Anaxagorea silvatica R.E.Fr."
"72","Andira anthelmia (Vell.) Benth."
"73","Andira fraxinifolia Benth."
"74","Andira legalis (Vell.) Toledo"
"75","Andira nitida Mart. ex Benth."
"76","Andira ormosioides Benth."
"77","Andira vermifuga (Mart.) Benth."
"78","Andradea floribunda Allemão"
"79","Angostura bracteata (Nees & Mart.) Kallunki"
"80","Aniba canelilla (Kunth) Mez"
"81","Aniba firmula (Nees & Mart.) Mez"
"82","Aniba heringeri Vattimo-Gil"
"83","Annona acutiflora Mart."
"84","Annona bahiensis (Maas & Westra) H.Rainer"
"85","Annona cacans Warm."
"86","Annona dolabripetala Raddi"
"87","Annona emarginata (Schltdl.) H.Rainer"
"88","Annona glabra L."
"89","Annona montana Macfad."
"90","Annona mucosa Jacq."
"91","Annona neosalicifolia H.Rainer"
"92","Annona neosericea H.Rainer"
"93","Annona pickelii (Diels) H.Rainer"
"94","Annona rugulosa (Schltdl.) H.Rainer"
"95","Annona salzmannii A.DC."
"96","Annona sylvatica A.St.-Hil."
"97","Annona xylopiifolia A.St.-Hil. & Tul."
"98","Antonia ovata Pohl"
"99","Aparisthmium cordatum (A.Juss.) Baill."
"100","Apeiba albiflora Ducke"
"101","Apeiba tibourbou Aubl."
"102","Apuleia leiocarpa (Vogel) J.F.Macbr."
"103","Aralia warmingiana (Marchal) J.Wen"
"104","Arapatiella psilophylla (Harms) R.S.Cowan"
"105","Araucaria angustifolia (Bertol.) Kuntze"
"106","Ardisia guianensis (Aubl.) Mez"
"107","Aspidosperma australe Müll.Arg."
"108","Aspidosperma cylindrocarpon Müll.Arg."
"109","Aspidosperma discolor A.DC."
"110","Aspidosperma dispermum Müll.Arg."
"111","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá"
"112","Aspidosperma olivaceum Müll.Arg."
"113","Aspidosperma parvifolium A.DC."
"114","Aspidosperma polyneuron Müll.Arg."
"115","Aspidosperma pyricollum Müll.Arg."
"116","Aspidosperma ramiflorum Müll.Arg."
"117","Aspidosperma spruceanum Benth. ex Müll.Arg."
"118","Aspidosperma subincanum Mart."
"119","Aspidosperma tomentosum Mart."
"120","Astrocaryum aculeatissimum (Schott) Burret"
"121","Astronium concinnum Schott"
"122","Astronium fraxinifolium Schott"
"123","Astronium graveolens Jacq."
"124","Ateleia glazioveana Baill."
"125","Attalea apoda Burret"
"126","Attalea burretiana Bondar"
"127","Attalea dubia (Mart.) Burret"
"128","Attalea funifera Mart."
"129","Attalea oleifera Barb.Rodr."
"130","Aureliana anonacea (Sendtn.) I.M.C.Rodrigues & Stehmann"
"131","Aureliana brasiliana (Hunz.) Barboza & Hunz."
"132","Aureliana fasciculata (Vell.) Sendtn."
"133","Aureliana pogogena (Moric.) I.M.C.Rodrigues & Stehmann"
"134","Aureliana velutina Sendtn."
"135","Austrocritonia angulicaulis (Sch.Bip. ex Baker) R.M.King & H.Rob."
"136","Austrocritonia velutina (Gardner) R.M.King & H.Rob."
"137","Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob."
"138","Azara uruguayensis (Speg.) Sleumer"
"139","Baccharis calvescens DC."
"140","Baccharis caprariifolia DC."
"141","Baccharis dentata (Vell.) G.M.Barroso"
"142","Baccharis dracunculifolia DC."
"143","Baccharis glaziovii Baker"
"144","Baccharis intermixta Gardner"
"145","Baccharis leucocephala Dusén"
"146","Baccharis microdonta DC."
"147","Baccharis oblongifolia (Ruiz & Pav.) Pers."
"148","Baccharis oreophila Malme"
"149","Baccharis retusa DC."
"150","Baccharis rufidula (Spreng.) Joch.Müll."
"151","Baccharis semiserrata DC."
"152","Baccharis serrulata (Lam.) Pers."
"153","Baccharis singularis (Vell.) G.M.Barroso"
"154","Bactris ferruginea Burret"
"155","Bactris setosa Mart."
"156","Bactris vulgaris Barb.Rodr."
"157","Balfourodendron riedelianum (Engl.) Engl."
"158","Banara brasiliensis (Schott) Benth."
"159","Banara guianensis Aubl."
"160","Banara parviflora (A.Gray) Benth."
"161","Banara serrata (Vell.) Warb."
"162","Banara tomentosa Clos"
"163","Basiloxylon brasiliensis (All.) K.Schum."
"164","Bastardiopsis densiflora (Hook. & Arn.) Hassl."
"165","Bathysa australis (A.St.-Hil.) K.Schum."
"166","Bathysa gymnocarpa K.Schum."
"167","Bathysa mendoncaei K.Schum."
"168","Bathysa nicholsonii K.Schum."
"169","Bathysa stipulata (Vell.) C.Presl"
"170","Bauhinia forficata Link"
"171","Bauhinia fusconervis (Bong.) Steud."
"172","Bauhinia longifolia (Bong.) Steud."
"173","Bauhinia ovata (Bong.) Vogel"
"174","Bauhinia pentandra (Bong.) D.Dietr."
"175","Bauhinia pulchella Benth."
"176","Bauhinia rufa (Bong.) Steud."
"177","Bauhinia ungulata L."
"178","Bauhinia uruguayensis Benth."
"179","Beilschmiedia emarginata (Meisn.) Kosterm."
"180","Beilschmiedia fluminensis Kosterm."
"181","Beilschmiedia rigida (Mez) Kosterm."
"182","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm."
"183","Berberis laurina Billb."
"184","Bernardia pulchella (Baill.) Müll.Arg."
"185","Bernardinia fluminensis (Gardner) Planch."
"186","Bixa arborea Huber"
"187","Bixa orellana L."
"188","Blanchetiodendron blanchetii (Benth.) Barneby & J.W.Grimes"
"189","Blepharocalyx eggersii (Kiaersk.) Landrum"
"190","Blepharocalyx salicifolius (Kunth) O.Berg"
"191","Boehmeria caudata Sw."
"192","Bonnetia stricta (Nees) Nees & Mart."
"193","Bougainvillea glabra Choisy"
"194","Bougainvillea spectabilis Willd."
"195","Bowdichia virgilioides Kunth"
"196","Brasiliocroton mamoninha P.E.Berry & Cordeiro"
"197","Brasiliopuntia brasiliensis (Willd.) A.Berger"
