"","sp","lon","lat"
"844","Actinostemon concolor (Spreng.) Müll.Arg.",-35.514,-9.236
"845","Actinostemon concolor (Spreng.) Müll.Arg.",-35.604,-9.319
"846","Actinostemon concolor (Spreng.) Müll.Arg.",-35.954,-9.777
"847","Actinostemon concolor (Spreng.) Müll.Arg.",-35.953,-9.185
"848","Actinostemon concolor (Spreng.) Müll.Arg.",-38.919,-4.214
"849","Actinostemon concolor (Spreng.) Müll.Arg.",-36.52,-8.881
"850","Actinostemon concolor (Spreng.) Müll.Arg.",-35.1,-7.78
"851","Actinostemon concolor (Spreng.) Müll.Arg.",-35.178,-8.059
"852","Actinostemon concolor (Spreng.) Müll.Arg.",-35.746,-6.968
"853","Actinostemon concolor (Spreng.) Müll.Arg.",-40.899,-3.84
"854","Actinostemon concolor (Spreng.) Müll.Arg.",-35.754,-8.158
"855","Actinostemon concolor (Spreng.) Müll.Arg.",-35.978,-8.356
"856","Actinostemon concolor (Spreng.) Müll.Arg.",-36.406,-8.194
"857","Actinostemon concolor (Spreng.) Müll.Arg.",-39.153,-13.63
"858","Actinostemon concolor (Spreng.) Müll.Arg.",-39.073,-14.349
"859","Actinostemon concolor (Spreng.) Müll.Arg.",-39.095,-15.175
"860","Actinostemon concolor (Spreng.) Müll.Arg.",-39.143,-16.353
"861","Actinostemon concolor (Spreng.) Müll.Arg.",-39.266,-17.092
"862","Actinostemon concolor (Spreng.) Müll.Arg.",-39.83,-17.18
"863","Actinostemon concolor (Spreng.) Müll.Arg.",-40.022,-19.159
"864","Actinostemon concolor (Spreng.) Müll.Arg.",-39.107,-14.49
"865","Actinostemon concolor (Spreng.) Müll.Arg.",-39.467,-15.164
"866","Actinostemon concolor (Spreng.) Müll.Arg.",-40.615,-19.921
"867","Actinostemon concolor (Spreng.) Müll.Arg.",-41.74,-20.493
"868","Actinostemon concolor (Spreng.) Müll.Arg.",-42.482,-20.701
"869","Actinostemon concolor (Spreng.) Müll.Arg.",-41.301,-20.742
"870","Actinostemon concolor (Spreng.) Müll.Arg.",-40.855,-17.082
"871","Actinostemon concolor (Spreng.) Müll.Arg.",-41.57,-17.834
"872","Actinostemon concolor (Spreng.) Müll.Arg.",-42.071,-18.493
"873","Actinostemon concolor (Spreng.) Müll.Arg.",-41.48,-18.879
"874","Actinostemon concolor (Spreng.) Müll.Arg.",-43.207,-19.422
"875","Actinostemon concolor (Spreng.) Müll.Arg.",-42.431,-19.511
"876","Actinostemon concolor (Spreng.) Müll.Arg.",-41.823,-19.721
"877","Actinostemon concolor (Spreng.) Müll.Arg.",-42.428,-19.723
"878","Actinostemon concolor (Spreng.) Müll.Arg.",-42.484,-19.748
"879","Actinostemon concolor (Spreng.) Müll.Arg.",-42.535,-19.8
"880","Actinostemon concolor (Spreng.) Müll.Arg.",-41.708,-19.804
"881","Actinostemon concolor (Spreng.) Müll.Arg.",-42.916,-20.263
"882","Actinostemon concolor (Spreng.) Müll.Arg.",-40.289,-13.468
"883","Actinostemon concolor (Spreng.) Müll.Arg.",-43.117,-19.847
"884","Actinostemon concolor (Spreng.) Müll.Arg.",-43.286,-20.55
"885","Actinostemon concolor (Spreng.) Müll.Arg.",-42.873,-20.778
"886","Actinostemon concolor (Spreng.) Müll.Arg.",-42.105,-15.389
"887","Actinostemon concolor (Spreng.) Müll.Arg.",-41.578,-15.394
"888","Actinostemon concolor (Spreng.) Müll.Arg.",-41.221,-16.639
"889","Actinostemon concolor (Spreng.) Müll.Arg.",-39.186,-12.163
"890","Actinostemon concolor (Spreng.) Müll.Arg.",-38.967,-12.316
"891","Actinostemon concolor (Spreng.) Müll.Arg.",-40.041,-16.058
"892","Actinostemon concolor (Spreng.) Müll.Arg.",-40.368,-12.48
"893","Actinostemon concolor (Spreng.) Müll.Arg.",-43.436,-19.206
"894","Actinostemon concolor (Spreng.) Müll.Arg.",-43.103,-18.103
"895","Actinostemon concolor (Spreng.) Müll.Arg.",-43.531,-18.983
"896","Actinostemon concolor (Spreng.) Müll.Arg.",-41.614,-12.553
