Especies,lat,lon
Adelophryne_baturitensis,-4.263362,-38.932714
Adelophryne_baturitensis,-4.234111,-38.885861
Adelophryne_baturitensis,-4.233362,-38.882713
Adelophryne_baturitensis,-4.228306,-38.879306
Adelophryne_baturitensis,-4.225362,-38.922714
Adelophryne_baturitensis,-3.733,-40.904
Adelophryne_baturitensis,-3.8,-40.9
Adelophryne_gutturosa,1,-52.083333
Adelophryne_gutturosa,6.366944,-63.581111
Adelophryne_gutturosa,5.283333,-60.766667
Adelophryne_gutturosa,5.279444,-59.399722
Adelophryne_gutturosa,3.933889,-53.125556
Adelophryne_gutturosa,1.651319,-52.270355
Adelophryne_maranguapensis,-3.895639,-38.721889
Adelophryne_maranguapensis,-3.895611,-38.722444
Adelophryne_maranguapensis,-3.89029,-38.712502
Adelophryne_meridionalis,-21.792702,-43.377594
Adelophryne_mucronatus,-15.075349,-39.052827
Adelophryne_mucronatus,-14.328428,-39.078437
Adelophryne_mucronatus,-14.277956,-38.997025
Adelophryne_mucronatus,-15.25135,-39.08116
Adelophryne_mucronatus,-15.293761,-39.075627
Adelophryne_pachydactyla,-14.637894,-39.360819
Adelophryne_pachydactyla,-14.716,-39.348
Adelophryne_pachydactyla,-12.933782,-39.500327
Adelophryne_pachydactyla,-12.92987364,-39.53411034
Adelphobates_castaneoticus,-9.875556,-56.086113
Adelphobates_castaneoticus,-4.61834,-55.47779
Adelphobates_castaneoticus,-3.459444,-51.661667
Adelphobates_castaneoticus,-3.145806,-54.842472
Adelphobates_castaneoticus,-2.764849,-55.092517
Adelphobates_castaneoticus,-2.533333,-54.283333
Adelphobates_castaneoticus,-3.415,-51.763611
Adelphobates_castaneoticus,-3.366667,-51.85
Adelphobates_galactonotus,-1.730352,-48.883429
Adelphobates_galactonotus,-4.948496,-47.503596
Adelphobates_galactonotus,-2.036413,-48.41226
Adelphobates_galactonotus,-3.998877,-51.300757
Adelphobates_galactonotus,-7.331277,-48.588567
Adelphobates_galactonotus,-1.49903,-48.634358
Adelphobates_galactonotus,-1.4520868,-48.476492
Adelphobates_galactonotus,-1.24057,-48.459694
Adelphobates_galactonotus,-2.765212,-55.092994
Adelphobates_galactonotus,-3.732198,-49.371228
Adelphobates_galactonotus,-6.425071,-50.0863
Adelphobates_galactonotus,-7.371662,-47.201854
Adelphobates_galactonotus,-6.227225,-49.627165
Adelphobates_galactonotus,-1.146252,-47.563597
Adelphobates_galactonotus,-5.869409,-56.498003
Adelphobates_galactonotus,-5.630853,-50.020878
Adelphobates_galactonotus,-5.368611,-49.117778
Adelphobates_galactonotus,-1.607149,-51.104165
Adelphobates_galactonotus,-2.578413,-49.466716
Adelphobates_galactonotus,-3.204424,-47.601609
Adelphobates_galactonotus,-6.154597,-50.497529
Adelphobates_galactonotus,-2.56467,-50.955431
Adelphobates_galactonotus,-4.51609,-48.461703
Adelphobates_galactonotus,-7.229441,-52.253084
Adelphobates_galactonotus,-6.1516,-48.5526
Adelphobates_galactonotus,-2.698232,-44.3219585
Adelphobates_galactonotus,-3.854633,-49.821183
Adelphobates_galactonotus,-0.88946,-48.138539
Adelphobates_quinquevittatus,-8.479389,-65.716556
