"sp","long","lat"
"Eugenia florida DC.",-35.019,-6.379
"Eugenia florida DC.",-34.858,-7.775
"Eugenia florida DC.",-34.897,-8.102
"Eugenia florida DC.",-36.376,-10.421
"Eugenia florida DC.",-42.073,-2.722
"Eugenia florida DC.",-41.676,-2.92
"Eugenia florida DC.",-39.957,-3.033
"Eugenia florida DC.",-38.574,-3.744
"Eugenia florida DC.",-35.002,-7.835
"Eugenia florida DC.",-34.946,-7.999
"Eugenia florida DC.",-34.986,-8.298
"Eugenia florida DC.",-35.168,-8.577
"Eugenia florida DC.",-35.175,-8.724
"Eugenia florida DC.",-35.307,-9.08
"Eugenia florida DC.",-35.514,-9.236
"Eugenia florida DC.",-35.604,-9.319
"Eugenia florida DC.",-35.954,-9.777
"Eugenia florida DC.",-35.73,-8.614
"Eugenia florida DC.",-38.72,-3.902
"Eugenia florida DC.",-38.919,-4.214
"Eugenia florida DC.",-36.414,-9.243
"Eugenia florida DC.",-35.184,-5.928
"Eugenia florida DC.",-35.254,-7.177
"Eugenia florida DC.",-35.225,-7.637
"Eugenia florida DC.",-35.1,-7.78
"Eugenia florida DC.",-34.879,-7.922
"Eugenia florida DC.",-35.897,-8.746
"Eugenia florida DC.",-40.899,-3.84
"Eugenia florida DC.",-38.92,-4.302
"Eugenia florida DC.",-35.754,-8.158
"Eugenia florida DC.",-36.406,-8.194
"Eugenia florida DC.",-35.874,-7.154
"Eugenia florida DC.",-36.658,-8.158
"Eugenia florida DC.",-35.381,-5.887
"Eugenia florida DC.",-35.689,-6.46
"Eugenia florida DC.",-36.88,-10.711
"Eugenia florida DC.",-37.359,-11.365
"Eugenia florida DC.",-38.774,-12.614
"Eugenia florida DC.",-39.043,-13.031
"Eugenia florida DC.",-39.095,-15.175
"Eugenia florida DC.",-39.106,-15.669
"Eugenia florida DC.",-39.143,-16.353
"Eugenia florida DC.",-40.022,-19.159
"Eugenia florida DC.",-40.456,-20.149
"Eugenia florida DC.",-39.462,-13.89
"Eugenia florida DC.",-39.467,-15.164
"Eugenia florida DC.",-40.427,-18.771
"Eugenia florida DC.",-40.306,-20.18
"Eugenia florida DC.",-40.523,-20.288
"Eugenia florida DC.",-41.174,-20.303
"Eugenia florida DC.",-41.74,-20.493
"Eugenia florida DC.",-42.482,-20.701
"Eugenia florida DC.",-41.844,-20.441
"Eugenia florida DC.",-36.661,-10.276
"Eugenia florida DC.",-37.346,-10.754
"Eugenia florida DC.",-37.571,-10.845
"Eugenia florida DC.",-41.074,-19.477
"Eugenia florida DC.",-41.171,-20.61
"Eugenia florida DC.",-41.301,-20.742
"Eugenia florida DC.",-41.04,-20.95
"Eugenia florida DC.",-38.421,-12.026
"Eugenia florida DC.",-39.639,-15.919
"Eugenia florida DC.",-40.855,-17.082
"Eugenia florida DC.",-40.603,-17.155
"Eugenia florida DC.",-40.281,-17.832
"Eugenia florida DC.",-41.57,-17.834
"Eugenia florida DC.",-42.561,-18.393
"Eugenia florida DC.",-42.071,-18.493
"Eugenia florida DC.",-41.04,-18.73
"Eugenia florida DC.",-41.48,-18.879
"Eugenia florida DC.",-40.513,-18.999
"Eugenia florida DC.",-42.137,-19.022
"Eugenia florida DC.",-42.763,-19.14
"Eugenia florida DC.",-40.778,-19.218
"Eugenia florida DC.",-42.403,-19.341
"Eugenia florida DC.",-43.207,-19.422
"Eugenia florida DC.",-42.526,-19.499
"Eugenia florida DC.",-42.431,-19.511
"Eugenia florida DC.",-40.624,-19.587
"Eugenia florida DC.",-42.865,-19.627
"Eugenia florida DC.",-41.823,-19.721
"Eugenia florida DC.",-42.428,-19.723
"Eugenia florida DC.",-42.535,-19.8
"Eugenia florida DC.",-41.708,-19.804
"Eugenia florida DC.",-40.873,-19.84
"Eugenia florida DC.",-42.916,-20.263
"Eugenia florida DC.",-42.929,-20.428
"Eugenia florida DC.",-43.02,-20.502
"Eugenia florida DC.",-41.386,-21.013
"Eugenia florida DC.",-40.289,-13.468
"Eugenia florida DC.",-40.114,-13.949
"Eugenia florida DC.",-42.529,-17.879
"Eugenia florida DC.",-41.466,-18.073
"Eugenia florida DC.",-43.083,-18.38
"Eugenia florida DC.",-42.755,-18.546
"Eugenia florida DC.",-41.552,-19.301
"Eugenia florida DC.",-43.117,-19.847
"Eugenia florida DC.",-43.363,-19.902
"Eugenia florida DC.",-43.386,-20.369
"Eugenia florida DC.",-44.616,-20.437
"Eugenia florida DC.",-43.286,-20.55
"Eugenia florida DC.",-43.372,-20.629
"Eugenia florida DC.",-42.873,-20.778
"Eugenia florida DC.",-42.105,-15.389
"Eugenia florida DC.",-41.578,-15.394
"Eugenia florida DC.",-41.221,-16.639
"Eugenia florida DC.",-43.191,-17.507
"Eugenia florida DC.",-39.363,-12.154
"Eugenia florida DC.",-39.186,-12.163
"Eugenia florida DC.",-38.967,-12.316
"Eugenia florida DC.",-40.303,-16.192
"Eugenia florida DC.",-41.201,-15.178
"Eugenia florida DC.",-40.844,-16.058
"Eugenia florida DC.",-41.064,-16.127
"Eugenia florida DC.",-42.235,-16.748
"Eugenia florida DC.",-42.703,-17.034
"Eugenia florida DC.",-43.388,-18.549
"Eugenia florida DC.",-43.436,-19.206
"Eugenia florida DC.",-43.671,-19.813
"Eugenia florida DC.",-44,-20.028
"Eugenia florida DC.",-43.669,-20.072
"Eugenia florida DC.",-44.283,-20.118
"Eugenia florida DC.",-43.477,-20.121
"Eugenia florida DC.",-43.646,-20.17
"Eugenia florida DC.",-43.548,-20.291
"Eugenia florida DC.",-43.539,-20.592
"Eugenia florida DC.",-43.501,-20.434
"Eugenia florida DC.",-43.103,-18.103
"Eugenia florida DC.",-43.533,-19.215
"Eugenia florida DC.",-43.512,-20.18
"Eugenia florida DC.",-41.284,-12.285
"Eugenia florida DC.",-40.519,-12.376
"Eugenia florida DC.",-43.531,-18.983
"Eugenia florida DC.",-43.423,-19.406
"Eugenia florida DC.",-43.972,-19.877
"Eugenia florida DC.",-44.242,-19.948
"Eugenia florida DC.",-43.884,-19.979
"Eugenia florida DC.",-44.333,-19.999
"Eugenia florida DC.",-41.352,-12.478
"Eugenia florida DC.",-40.518,-11.317
"Eugenia florida DC.",-41.468,-12.449
"Eugenia florida DC.",-41.798,-13.32
"Eugenia florida DC.",-41.267,-13.39
"Eugenia florida DC.",-43.614,-18.265
"Eugenia florida DC.",-43.651,-19.161
"Eugenia florida DC.",-41.963,-13.511
"Eugenia florida DC.",-42.855,-12.535
