"","Var1","Freq"
"1","Abarema barnebyana",2
"2","Abarema brachystachya",61
"3","Abarema cochliacarpos",60
"4","Abarema filamentosa",24
"5","Abarema jupunba",24
"6","Abarema langsdorffii",106
"7","Abarema limae",7
"8","Abarema turbinata",7
"9","Abarema villosa",13
"10","Abatia americana",10
"11","Abuta grandifolia",1
"12","Abutilon grandifolium",2
"13","Acanthocladus albicans",12
"14","Acanthocladus brasiliensis",12
"15","Acanthocladus pulcherrimus",10
"16","Acanthocladus santosii",5
"17","Acanthosyris paulo-alvinii",3
"18","Acanthosyris spinescens",7
"19","Acca sellowiana",85
"20","Achatocarpus praecox",25
"21","Acnistus arborescens",95
"22","Acosmium diffusissimum",5
"23","Acosmium lentiscifolium",22
"24","Acrocomia aculeata",52
"25","Acrocomia glaucescens",1
"26","Acrocomia intumescens",35
"27","Acrocomia totai",4
"28","Actinostemon concolor",299
"29","Actinostemon klotzschii",146
"30","Actinostemon lasiocarpus",22
"31","Actinostemon verticillatus",43
"32","Adelia membranifolia",9
"33","Adenophaedra cearensis",1
"34","Adenophaedra megalophylla",8
"35","Aegiphila brachiata",46
"36","Aegiphila graveolens",12
"37","Aegiphila integrifolia",386
"38","Aegiphila luschnathii",13
"39","Aegiphila mediterranea",19
"40","Aegiphila obducta",60
"41","Aegiphila pernambucensis",17
"42","Aegiphila riedeliana",11
"43","Aegiphila verticillata",56
"44","Aegiphila vitelliniflora",27
"45","Agarista chapadensis",4
"46","Agarista coriifolia",20
"47","Agarista eucalyptoides",46
"48","Agarista niederleinii",34
"49","Agarista oleifolia",61
"50","Agarista revoluta",13
"51","Agonandra brasiliensis",29
"52","Agonandra excelsa",111
"53","Agonandra fluminensis",2
"54","Aiouea acarodomatifera",22
"55","Aiouea bracteata",7
"56","Aiouea laevis",7
"57","Aiouea piauhyensis",1
"58","Aiouea saligna",156
"59","Aiouea trinervis",9
"60","Alatococcus siqueirae",1
"61","Albizia burkartiana",5
"62","Albizia edwallii",113
"63","Albizia inundata",2
"64","Albizia niopoides",97
"65","Albizia pedicellaris",79
"66","Albizia polycephala",224
"67","Alchornea glandulosa",299
"68","Alchornea sidifolia",111
"69","Alchornea triplinervia",473
"70","Algernonia bahiensis",2
"71","Algernonia brasiliensis",5
"72","Algernonia dimitrii",2
"73","Algernonia gibbosa",3
"74","Algernonia glazioui",1
"75","Algernonia kuhlmannii",2
"76","Algernonia leandrii",22
"77","Algernonia obovata",6
"78","Algernonia pardina",4
"79","Algernonia riedelii",6
"80","Alibertia baiana",11
"81","Alibertia edulis",8
"82","Allagoptera caudescens",46
"83","Allophylus dioicus",3
"84","Allophylus edulis",534
"85","Allophylus guaraniticus",110
"86","Allophylus heterophyllus",3
"87","Allophylus leucoclados",10
"88","Allophylus melanophloeus",6
"89","Allophylus petiolulatus",212
"90","Allophylus puberulus",22
"91","Allophylus quercifolius",4
"92","Allophylus racemosus",111
"93","Allophylus semidentatus",41
"94","Almeidea coerulea",6
"95","Almeidea lilacina",14
"96","Almeidea limae",1
"97","Almeidea rubra",34
"98","Aloysia virgata",169
"99","Alseis floribunda",203
"100","Alseis involuta",8
"101","Alseis pickelii",28
"102","Alsophila setosa",266
"103","Alsophila sternbergii",92
"104","Amaioua glomerulata",10
"105","Amaioua guianensis",108
"106","Amaioua intermedia",253
"107","Amaioua pilosa",24
"108","Amanoa guianensis",18
"109","Amburana cearensis",24
"110","Ampelocera glabra",17
"111","Amphirrhox longifolia",38
"112","Anacardium occidentale",48
"113","Anadenanthera colubrina",245
"114","Anadenanthera peregrina",93
"115","Anaxagorea dolichocarpa",77
"116","Anaxagorea silvatica",15
"117","Andira anthelmia",43
"118","Andira carvalhoi",4
"119","Andira fraxinifolia",345
"120","Andira inermis",4
"121","Andira legalis",53
"122","Andira marauensis",4
"123","Andira nitida",49
"124","Andira ormosioides",64
"125","Andira surinamensis",9
"126","Andira vermifuga",23
"127","Andradea floribunda",37
"128","Andreadoxa flava",1
"129","Angostura bracteata",19
"130","Aniba canelilla",22
"131","Aniba firmula",252
"132","Aniba heringeri",12
"133","Aniba intermedia",9
"134","Aniba pedicellata",1
"135","Annona acutiflora",21
"136","Annona bahiensis",13
"137","Annona cacans",283
"138","Annona coriacea",8
"139","Annona cornifolia",4
"140","Annona crassiflora",5
"141","Annona dolabripetala",220
"142","Annona emarginata",181
"143","Annona exsucca",7
"144","Annona ferruginea",2
"145","Annona glabra",73
"146","Annona leptopetala",20
"147","Annona maritima",6
"148","Annona montana",25
"149","Annona mucosa",32
"150","Annona neosalicifolia",93
"151","Annona neosericea",102
"152","Annona paludosa",1
"153","Annona parviflora",8
"154","Annona pickelii",13
"155","Annona rugulosa",155
"156","Annona salzmannii",48
"157","Annona sylvatica",368
"158","Annona ubatubensis",1
"159","Annona vepretorum",5
"160","Annona xylopiifolia",24
"161","Anthodiscus amazonicus",3
"162","Antonia ovata",30
"163","Aparisthmium cordatum",204
"164","Apeiba albiflora",21
"165","Apeiba tibourbou",54
"166","Aptandra tubicina",10
"167","Apuleia leiocarpa",278
"168","Aralia bahiana",1
"169","Aralia warmingiana",67
"170","Arapatiella emarginata",6
"171","Arapatiella psilophylla",15
"172","Araucaria angustifolia",186
"173","Archontophoenix cunninghamiana",3
"174","Ardisia guianensis",91
"175","Arrojadoa penicillata",3
"176","Arrojadoa rhodantha",4
"177","Arthrocereus melanurus",8
"178","Aspidosperma album",1
"179","Aspidosperma australe",231
"180","Aspidosperma cuspa",37
"181","Aspidosperma cylindrocarpon",97
"182","Aspidosperma discolor",43
"183","Aspidosperma dispermum",16
"184","Aspidosperma excelsum",1
"185","Aspidosperma illustre",23
"186","Aspidosperma macrocarpon",1
"187","Aspidosperma multiflorum",15
"188","Aspidosperma nobile",1
"189","Aspidosperma olivaceum",224
"190","Aspidosperma parvifolium",57
"191","Aspidosperma polyneuron",147
"192","Aspidosperma pyricollum",39
"193","Aspidosperma pyrifolium",31
"194","Aspidosperma quebracho-blanco",1
"195","Aspidosperma ramiflorum",103
"196","Aspidosperma riedelii",8
"197","Aspidosperma spruceanum",127
"198","Aspidosperma subincanum",21
"199","Aspidosperma thomasii",2
"200","Aspidosperma tomentosum",77
"201","Aspidosperma ulei",7
"202","Astrocaryum aculeatissimum",135
"203","Astrocaryum vulgare",2
"204","Astrocasia jacobinensis",8
"205","Astronium concinnum",37
"206","Astronium fraxinifolium",102
"207","Astronium glaziovii",7
"208","Astronium graveolens",203
"209","Astronium nelson-rosae",4
"210","Ateleia glazioveana",51
"211","Ateleia guaraya",2
"212","Ateleia venezuelensis",1
"213","Attalea apoda",26
"214","Attalea brejinhoensis",1
"215","Attalea burretiana",60
"216","Attalea compta",4
"217","Attalea dubia",52
"218","Attalea funifera",34
"219","Attalea oleifera",36
"220","Attalea phalerata",4
"221","Attalea pindobassu",4
"222","Attalea seabrensis",2
"223","Attalea speciosa",7
"224","Aureliana angustifolia",2
"225","Aureliana anonacea",17
"226","Aureliana brasiliana",15
"227","Aureliana fasciculata",92
"228","Aureliana pogogena",20
"229","Aureliana sellowiana",2
"230","Aureliana tomentosa",10
"231","Aureliana velutina",30
"232","Austrocritonia angulicaulis",13
"233","Austrocritonia velutina",39
"234","Austroeupatorium inulaefolium",93
"235","Averrhoidium gardnerianum",9
