"","Var1","Freq"
"1","Abarema brachystachya (DC.) Barneby & J.W.Grimes",61
"2","Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes",60
"3","Abarema filamentosa (Benth.) Pittier",24
"4","Abarema jupunba (Willd.) Britton & Killip",24
"5","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",106
"6","Abarema villosa Iganci & M.P.Morim",13
"7","Acanthocladus albicans A.W.Benn.",12
"8","Acanthocladus brasiliensis (Klotzsch ex A.St.-Hil. & Moq.) Hassk.",12
"9","Acca sellowiana (O.Berg) Burret",85
"10","Achatocarpus praecox Griseb.",25
"11","Acnistus arborescens (L.) Schltdl.",95
"12","Acosmium lentiscifolium Schott",22
"13","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",52
"14","Acrocomia intumescens Drude",35
"15","Actinostemon concolor (Spreng.) Müll.Arg.",299
"16","Actinostemon klotzschii (Didr.) Pax",146
"17","Actinostemon lasiocarpus (Müll.Arg.) Baill.",22
"18","Actinostemon verticillatus (Klotzsch) Baill.",43
"19","Aegiphila brachiata Vell.",46
"20","Aegiphila graveolens Mart. & Schauer",12
"21","Aegiphila integrifolia (Jacq.) Moldenke",386
"22","Aegiphila luschnathii Schauer",13
"23","Aegiphila mediterranea Vell.",19
"24","Aegiphila obducta Vell.",60
"25","Aegiphila pernambucensis Moldenke",17
"26","Aegiphila riedeliana Schauer",11
"27","Aegiphila verticillata Vell.",56
"28","Aegiphila vitelliniflora Walp.",27
"29","Agarista coriifolia (Thunb.) Hook. ex Nied.",20
"30","Agarista eucalyptoides (Cham. & Schltdl.) G.Don",46
"31","Agarista niederleinii (Sleumer) Judd",34
"32","Agarista oleifolia (Cham.) G.Don",61
"33","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.",13
"34","Agonandra brasiliensis Miers ex Benth. & Hook.f.",29
"35","Agonandra excelsa Griseb.",111
"36","Aiouea acarodomatifera Kosterm.",22
"37","Aiouea saligna Meisn.",156
