;id;original.search;scientific.name;accepted.name;family;genus;specific.epiteth;taxon.rank;authorship;taxon.status;name.status;search.str;threat.status;notes;original.search;FINAL;source;
1;100915;Abarema barnebyana;Abarema barnebyana Iganci & M.P.Morim;NA;Fabaceae;Abarema;barnebyana;species;Iganci & M.P.Morim;accepted;correct;Abarema barnebyana;NA;;Abarema barnebyana;Abarema barnebyana Iganci & M.P.Morim;FB;
2;82544;Abarema brachystachya;Abarema brachystachya (DC.) Barneby & J.W.Grimes;NA;Fabaceae;Abarema;brachystachya;species;(DC.) Barneby & J.W.Grimes;accepted;correct;Abarema brachystachya;NA;;Abarema brachystachya;Abarema brachystachya (DC.) Barneby & J.W.Grimes;FB;
3;17974;Abarema cochliacarpos;Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes;NA;Fabaceae;Abarema;cochliacarpos;species;(Gomes) Barneby & J.W.Grimes;accepted;correct;Abarema cochliacarpos;LC;;Abarema cochliacarpos;Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes;FB;
4;17975;Abarema filamentosa;Abarema filamentosa (Benth.) Pittier;NA;Fabaceae;Abarema;filamentosa;species;(Benth.) Pittier;accepted;correct;Abarema filamentosa;LC;;Abarema filamentosa;Abarema filamentosa (Benth.) Pittier;FB;
5;22761;Abarema jupunba;Abarema jupunba (Willd.) Britton & Killip;NA;Fabaceae;Abarema;jupunba;species;(Willd.) Britton & Killip;accepted;correct;Abarema jupunba;NA;;Abarema jupunba;Abarema jupunba (Willd.) Britton & Killip;FB;
6;17978;Abarema langsdorffii;Abarema langsdorffii (Benth.) Barneby & J.W.Grimes;NA;Fabaceae;Abarema;langsdorffii;species;(Benth.) Barneby & J.W.Grimes;accepted;correct;Abarema langsdorffii;NA;;Abarema langsdorffii;Abarema langsdorffii (Benth.) Barneby & J.W.Grimes;FB;
7;100916;Abarema limae;Abarema limae Iganci & M.P.Morim;NA;Fabaceae;Abarema;limae;species;Iganci & M.P.Morim;accepted;correct;Abarema limae;NA;;Abarema limae;Abarema limae Iganci & M.P.Morim;FB;
8;82544;Abarema obovata;Abarema brachystachya (DC.) Barneby & J.W.Grimes;NA;Fabaceae;Abarema;brachystachya;species;(DC.) Barneby & J.W.Grimes;accepted;correct;Abarema brachystachya;NA;replaced synonym;Abarema obovata;Abarema brachystachya (DC.) Barneby & J.W.Grimes;FB;
9;82561;Abarema turbinata;Abarema turbinata (Benth.) Barneby & J.W.Grimes;NA;Fabaceae;Abarema;turbinata;species;(Benth.) Barneby & J.W.Grimes;accepted;correct;Abarema turbinata;NT;;Abarema turbinata;Abarema turbinata (Benth.) Barneby & J.W.Grimes;FB;
10;100917;Abarema villosa;Abarema villosa Iganci & M.P.Morim;NA;Fabaceae;Abarema;villosa;species;Iganci & M.P.Morim;accepted;correct;Abarema villosa;NA;;Abarema villosa;Abarema villosa Iganci & M.P.Morim;FB;
11;14348;Abatia americana;Abatia americana (Gardner) Eichler;NA;Salicaceae;Abatia;americana;species;(Gardner) Eichler;accepted;correct;Abatia americana;NA;;Abatia americana;Abatia americana (Gardner) Eichler;FB;
12;23821;Abuta grandifolia;Abuta grandifolia (Mart.) Sandwith;NA;Menispermaceae;Abuta;grandifolia;species;(Mart.) Sandwith;accepted;correct;Abuta grandifolia;NA;;Abuta grandifolia;Abuta grandifolia (Mart.) Sandwith;FB;
13;134526;Abutilon amoenum;Callianthe amoena (K. Shum.) Donnel;NA;Malvaceae;Callianthe;amoena;species;(K. Shum.) Donnel;accepted;correct;Callianthe amoena;NA;replaced synonym;Abutilon amoenum;Callianthe amoena (K. Shum.) Donnel;FB;
14;134813;Abutilon bedfordianum;Callianthe bedfordiana (Hook.) Donnell;NA;Malvaceae;Callianthe;bedfordiana;species;(Hook.) Donnell;accepted;correct;Callianthe bedfordiana;NA;replaced synonym;Abutilon bedfordianum;Callianthe bedfordiana (Hook.) Donnell;FB;
15;106936;Abutilon grandifolium;Abutilon grandifolium (Willd.) Sweet;NA;Malvaceae;Abutilon;grandifolium;species;(Willd.) Sweet;accepted;correct;Abutilon grandifolium;NA;;Abutilon grandifolium;Abutilon grandifolium (Willd.) Sweet;FB;
16;8994;Abutilon peltatum;Abutilon peltatum K.Schum.;NA;Malvaceae;Abutilon;peltatum;species;K.Schum.;synonym;NA;Abutilon peltatum;NA;check no accepted name;Abutilon peltatum;Callianthe fluviatilis (Vell.) Donnel;FB;
17;134844;Abutilon rufinerve;Callianthe rufinerva (A. St.Hil.) Donnel;NA;Malvaceae;Callianthe;rufinerva;species;(A. St.Hil.) Donnel;accepted;correct;Callianthe rufinerva;NA;replaced synonym;Abutilon rufinerve;Callianthe rufinerva (A. St.Hil.) Donnel;FB;
18;103169;Acanthocladus albicans;Acanthocladus albicans A.W.Benn.;NA;Polygalaceae;Acanthocladus;albicans;species;A.W.Benn.;accepted;correct;Acanthocladus albicans;NA;;Acanthocladus albicans;Acanthocladus albicans A.W.Benn.;FB;
19;103170;Acanthocladus brasiliensis;Acanthocladus brasiliensis (Klotzsch ex A.St.-Hil. & Moq.) Hassk.;NA;Polygalaceae;Acanthocladus;brasiliensis;species;(Klotzsch ex A.St.-Hil. & Moq.) Hassk.;accepted;correct;Acanthocladus brasiliensis;LC;;Acanthocladus brasiliensis;Acanthocladus brasiliensis (Klotzsch ex A.St.-Hil. & Moq.) Hassk.;FB;
