;submittedname;acceptedname;sourceid;score;matchedname;authority;uri
35;Algernonia pardina;Algernonia pardina;iPlant_TNRS;1;Algernonia pardina;Croizat;http://www.tropicos.org/Name/50168552
12;Annona amambayensis;Annona cacans;iPlant_TNRS;1;Annona amambayensis;Warm.;http://www.tropicos.org/Name/1600046
7;Archontophoenix cunninghamiana;Archontophoenix cunninghamiana;iPlant_TNRS;1;Archontophoenix cunninghamiana;H. Wendl. & Drude;http://www.tropicos.org/Name/50186809
17;Archontophoenix cunninghamiana;Archontophoenix cunninghamiana;NCBI;1;Archontophoenix cunninghamiana;none;http://www.ncbi.nlm.nih.gov/taxonomy/679633
27;Capsicum parviflorum;Capsicum parvifolium;iPlant_TNRS;0.97;Capsicum parvifolium;Sendtn.;http://www.tropicos.org/Name/29600451
15;Cedrela balansae;Cedrela balansae;iPlant_TNRS;1;Cedrela balansae;C. DC.;http://www.tropicos.org/Name/20400041
36;Cedrela balansae;Cedrela balansae;NCBI;1;Cedrela balansae;none;http://www.ncbi.nlm.nih.gov/taxonomy/582825
29;Celtis tala;Celtis tala;NCBI;1;Celtis tala;none;http://www.ncbi.nlm.nih.gov/taxonomy/1184753
31;Celtis tala;Celtis ehrenbergiana;iPlant_TNRS;1;Celtis tala;(Klotzsch) Liebm.;http://www.tropicos.org/Name/33300116
8;Chrysochlamys saldanhae;Chrysochlamys saldanhae;iPlant_TNRS;1;Chrysochlamys saldanhae;(Engl.) Oliveira-Filho;http://www.tropicos.org/Name/50303208
28;Cnicothamnus lorentzii;Cnicothamnus lorentzii;NCBI;1;Cnicothamnus lorentzii;none;http://www.ncbi.nlm.nih.gov/taxonomy/130253
38;Cnicothamnus lorentzii;Cnicothamnus lorentzii;iPlant_TNRS;1;Cnicothamnus lorentzii;Griseb.;http://www.tropicos.org/Name/2727811
25;Cordiera stipulacea;Cordiera;iPlant_TNRS;0.5;Cordiera;A. Rich.;http://www.tropicos.org/Name/40014033
37;Daphnopsis americana;Daphnopsis americana;NCBI;1;Daphnopsis americana;none;http://www.ncbi.nlm.nih.gov/taxonomy/1125886
39;Daphnopsis americana;Daphnopsis americana;iPlant_TNRS;1;Daphnopsis americana;(Mill.) J.R. Johnst.;http://www.tropicos.org/Name/32000012
19;Eugenia leitonii;;iPlant_TNRS;1;Eugenia leitonii;;
30;Gyrocarpus acuminatus;Gyrocarpus;iPlant_TNRS;1;Gyrocarpus acuminatus;Jacq.;http://www.tropicos.org/Name/40019496
2;Hieronyma oblonga;Hieronyma oblonga;iPlant_TNRS;1;Hieronyma oblonga;(Tul.) MÌ_ll. Arg.;http://www.tropicos.org/Name/12802333
18;Hieronyma oblonga;Hieronyma oblonga;NCBI;1;Hieronyma oblonga;none;http://www.ncbi.nlm.nih.gov/taxonomy/300996
22;Ilex congesta;;iPlant_TNRS;1;Ilex congesta;;
21;Inga tripa;Inga;iPlant_TNRS;0.5;Inga;Mill.;http://www.tropicos.org/Name/40031040
40;Jatropha palmatipartita;Jatropha palmatipartita;iPlant_TNRS;1;Jatropha palmatipartita;Dehgan;http://www.tropicos.org/Name/100384094
9;Lonchocarpus nicou;Lonchocarpus nicou;iPlant_TNRS;1;Lonchocarpus nicou;(Aubl.) DC.;http://www.tropicos.org/Name/13021992
24;Luehea fiebrigii;Luehea fiebrigii;iPlant_TNRS;1;Luehea fiebrigii;Burret;http://www.tropicos.org/Name/32200115
