;Genus;Species;Abbrev;Infraspecific;ID;Plant.Name.Index;TPL_version;Taxonomic.status;Family;New.Genus;New.Hybrid.marker;New.Species;New.Infraspecific;Authority;New.ID;Typo;WFormat;FINAL NAME
1;Algernonia;pardina;<NA>;;kew-5963;TRUE;1.1;Accepted;Euphorbiaceae;Algernonia;;pardina;;Croizat   ;kew-5963;FALSE;FALSE;Algernonia pardina Croizat   
2;Annona;amambayensis;<NA>;;kew-2640773;TRUE;1.1;Synonym;Annonaceae;Annona;;cacans;;Warm.   ;kew-2640803;FALSE;FALSE;Annona cacans Warm.   
3;Archontophoenix;cunninghamiana;<NA>;;kew-14412;TRUE;1.1;Accepted;Arecaceae;Archontophoenix;;cunninghamiana;;(H.Wendl.) H.Wendl. & Drude;kew-14412;FALSE;FALSE;Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude
4;Capsicum;parviflorum;<NA>;;;FALSE;1.1;;;Capsicum;;parviflorum;;   ;;FALSE;FALSE;Capsicum parviflorum    
5;Cedrela;balansae;<NA>;;kew-2707180;TRUE;1.1;Accepted;Meliaceae;Cedrela;;balansae;;C.DC.   ;kew-2707180;FALSE;FALSE;Cedrela balansae C.DC.   
6;Celtis;tala;<NA>;;kew-2708484;TRUE;1.1;Accepted;Cannabaceae;Celtis;;tala;;Gillies ex Planch. ;kew-2708484;FALSE;FALSE;Celtis tala Gillies ex Planch. 
7;Chrysochlamys;saldanhae;<NA>;;kew-2603955;TRUE;1.1;Accepted;Clusiaceae;Chrysochlamys;;saldanhae;;(Engl.) Oliveira-Filho  ;kew-2603955;FALSE;FALSE;Chrysochlamys saldanhae (Engl.) Oliveira-Filho  
8;Cnicothamnus;lorentzii;<NA>;;gcc-48101;TRUE;1.1;Accepted;Compositae;Cnicothamnus;;lorentzii;;Griseb.   ;gcc-48101;FALSE;FALSE;Cnicothamnus lorentzii Griseb.   
9;Cordiera;stipulacea;<NA>;;;FALSE;1.1;;;Cordiera;;stipulacea;;   ;;FALSE;FALSE;Cordiera stipulacea    
10;Daphnopsis;americana;<NA>;;kew-2757356;TRUE;1.1;Accepted;Thymelaeaceae;Daphnopsis;;americana;;(Mill.) J.R.Johnst.  ;kew-2757356;FALSE;FALSE;Daphnopsis americana (Mill.) J.R.Johnst.  
11;Eugenia;leitonii;<NA>;;;FALSE;1.1;;;Eugenia;;leitonii;;   ;;FALSE;FALSE;Eugenia leitonii    
12;Gyrocarpus;acuminatus;<NA>;;kew-2836997;TRUE;1.1;Synonym;Hernandiaceae;Gyrocarpus;;americanus;;Jacq.   ;kew-2836998;FALSE;FALSE;Gyrocarpus americanus Jacq.   
13;Hieronyma;oblonga;<NA>;;kew-99164;TRUE;1.1;Accepted;Phyllanthaceae;Hieronyma;;oblonga;;(Tul.) MŸll.Arg.  ;kew-99164;FALSE;FALSE;Hieronyma oblonga (Tul.) MŸll.Arg.  
14;Ilex;congesta;<NA>;;kew-2860568;TRUE;1.1;Unresolved;Aquifoliaceae;Ilex;;congesta;;Reissek   ;kew-2860568;FALSE;FALSE;Ilex congesta Reissek   
15;Inga;tripa;<NA>;;;FALSE;1.1;;;Inga;;tripa;;   ;;FALSE;FALSE;Inga tripa    
16;Jatropha;palmatipartita;<NA>;;;FALSE;1.1;;;Jatropha;;palmatipartita;;   ;;FALSE;FALSE;Jatropha palmatipartita    
17;Lonchocarpus;nicou;<NA>;;tro-13021992;TRUE;1.1;Accepted;Leguminosae;Lonchocarpus;;nicou;;(Aubl.) DC.  ;tro-13021992;FALSE;FALSE;Lonchocarpus nicou (Aubl.) DC.  
18;Luehea;fiebrigii;<NA>;;tro-32200115;TRUE;1.1;Accepted;Malvaceae;Luehea;;fiebrigii;;Burret   ;tro-32200115;FALSE;FALSE;Luehea fiebrigii Burret   
19;Luehea;microcarpa;<NA>;;tro-32200118;TRUE;1.1;Accepted;Malvaceae;Luehea;;microcarpa;;R.E. Fr.  ;tro-32200118;FALSE;FALSE;Luehea microcarpa R.E. Fr.  
20;Lycium;cestroides;<NA>;;tro-29600034;TRUE;1.1;Accepted;Solanaceae;Lycium;;cestroides;;Schltdl.   ;tro-29600034;FALSE;FALSE;Lycium cestroides Schltdl.   
21;Matayba;leucodictya;<NA>;;kew-2510293;TRUE;1.1;Unresolved;Sapindaceae;Matayba;;leucodictya;;Radlk.   ;kew-2510293;FALSE;FALSE;Matayba leucodictya Radlk.   
22;Miconia;theaezans;<NA>;;tro-100369345;TRUE;1.1;Unresolved;Melastomataceae;Miconia;;theaezans;;Cogn.   ;tro-100369345;FALSE;FALSE;Miconia theaezans Cogn.   
23;Morus;alba;<NA>;;kew-2501381;TRUE;1.1;Accepted;Moraceae;Morus;;alba;;L.   ;kew-2501381;FALSE;FALSE;Morus alba L.   
24;Morus;nigra;<NA>;;kew-2501426;TRUE;1.1;Accepted;Moraceae;Morus;;nigra;;L.   ;kew-2501426;FALSE;FALSE;Morus nigra L.   
25;Ocotea;megaphylla;<NA>;;tro-17800267;TRUE;1.1;Accepted;Lauraceae;Ocotea;;megaphylla;;(Meisn.) Mez  ;tro-17800267;FALSE;FALSE;Ocotea megaphylla (Meisn.) Mez  
26;Ormosia;costulata;<NA>;;ild-14583;TRUE;1.1;Accepted;Leguminosae;Ormosia;;costulata;;(Miq.) Kleinhoonte  ;ild-14583;FALSE;FALSE;Ormosia costulata (Miq.) Kleinhoonte  
27;Poincianella;echinata;<NA>;;;FALSE;1.1;;;Poincianella;;echinata;;   ;;FALSE;FALSE;Poincianella echinata    
28;Pouteria;fragrans;<NA>;;kew-164123;TRUE;1.1;Accepted;Sapotaceae;Pouteria;;fragrans;;(Pierre) Dubard  ;kew-164123;FALSE;FALSE;Pouteria fragrans (Pierre) Dubard  
29;Roupala;meisneri;<NA>;;kew-2424617;TRUE;1.1;Accepted;Proteaceae;Roupala;;meisneri;;Sleumer   ;kew-2424617;FALSE;FALSE;Roupala meisneri Sleumer   
30;Ruprechtia;crenata;<NA>;;tro-50252179;TRUE;1.1;Accepted;Polygonaceae;Ruprechtia;;crenata;;(Casar.) R.A. Howard ;tro-50252179;FALSE;FALSE;Ruprechtia crenata (Casar.) R.A. Howard 
31;Sageretia;elegans;<NA>;;kew-2600196;TRUE;1.1;Accepted;Rhamnaceae;Sageretia;;elegans;;(Kunth) Brongn.  ;kew-2600196;FALSE;FALSE;Sageretia elegans (Kunth) Brongn.  
32;Schinus;pearcei;<NA>;;tro-1300286;TRUE;1.1;Accepted;Anacardiaceae;Schinus;;pearcei;;Engl.   ;tro-1300286;FALSE;FALSE;Schinus pearcei Engl.   
33;Sebastiania;argutidens;<NA>;;kew-189951;TRUE;1.1;Accepted;Euphorbiaceae;Sebastiania;;argutidens;;Pax & K.Hoffm. ;kew-189951;FALSE;FALSE;Sebastiania argutidens Pax & K.Hoffm. 
34;Sebastiania;edwalliana;<NA>;;kew-190090;TRUE;1.1;Accepted;Euphorbiaceae;Sebastiania;;edwalliana;;Pax & K.Hoffm. ;kew-190090;FALSE;FALSE;Sebastiania edwalliana Pax & K.Hoffm. 
35;Simira;podocarpa;<NA>;;;FALSE;1.1;;;Simira;;podocarpa;;   ;;FALSE;FALSE;Simira podocarpa    
36;Sloanea;stipitata;<NA>;;kew-2592466;TRUE;1.1;Accepted;Elaeocarpaceae;Sloanea;;stipitata;;Spruce ex Benth. ;kew-2592466;FALSE;FALSE;Sloanea stipitata Spruce ex Benth. 
37;Tabebuia;gemmiflora;<NA>;;kew-318531;TRUE;1.1;Accepted;Bignoniaceae;Tabebuia;;gemmiflora;;Rizzini & A.Mattos ;kew-318531;FALSE;FALSE;Tabebuia gemmiflora Rizzini & A.Mattos 
38;Talisia;espiritosantensis;<NA>;;;FALSE;1.1;;;Talisia;;espiritosantensis;;   ;;FALSE;FALSE;Talisia espiritosantensis    
39;Tovomita;paniculata;<NA>;;tro-7800985;TRUE;1.1;Accepted;Clusiaceae;Tovomita;;paniculata;;(Spreng.) Cambess.  ;tro-7800985;FALSE;FALSE;Tovomita paniculata (Spreng.) Cambess.  
40;Trichilia;trifolia;<NA>;;kew-2515285;TRUE;1.1;Accepted;Meliaceae;Trichilia;;trifolia;;L.   ;kew-2515285;FALSE;FALSE;Trichilia trifolia L.   
41;Vitex;laciniosa;<NA>;;kew-213544;TRUE;1.1;Synonym;Lamiaceae;Vitex;;polygama;;Cham.   ;kew-213715;FALSE;FALSE;Vitex polygama Cham.   
42;Ziziphus;mistol;<NA>;;tro-27500137;TRUE;1.1;Accepted;Rhamnaceae;Ziziphus;;mistol;;Griseb.   ;tro-27500137;FALSE;FALSE;Ziziphus mistol Griseb.   
;;;;;;;;;;;;;;   ;;;;     
